final_kluster	category	count	pattern
33ns	other	22	non_seasonal
34ns	other	10	non_seasonal
35ns	other	14	non_seasonal
98s	other	37	seasonal
36ns	other	7	non_seasonal
99s	other	31	seasonal
37ns	other	14	non_seasonal
38ns	other	12	non_seasonal
100s	other	13	seasonal
39ns	other	21	non_seasonal
101s	other	21	seasonal
40ns	other	12	non_seasonal
41ns	other	12	non_seasonal
102s	other	46	seasonal
42ns	other	5	non_seasonal
103s	other	39	seasonal
104s	other	37	seasonal
105s	other	34	seasonal
106s	other	40	seasonal
107s	other	4	seasonal
108s	other	17	seasonal
43ns	other	1	non_seasonal
44ns	other	30	non_seasonal
45ns	other	1	non_seasonal
46ns	other	13	non_seasonal
1s	moron. auxiliary metabolic gene and host takeover	31	seasonal
2s	moron. auxiliary metabolic gene and host takeover	3	seasonal
3s	moron. auxiliary metabolic gene and host takeover	5	seasonal
4s	moron. auxiliary metabolic gene and host takeover	11	seasonal
5s	moron. auxiliary metabolic gene and host takeover	24	seasonal
6s	moron. auxiliary metabolic gene and host takeover	11	seasonal
1ns	moron. auxiliary metabolic gene and host takeover	2	non_seasonal
7s	moron. auxiliary metabolic gene and host takeover	3	seasonal
