klusters_tree_list3	obs
46	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__34145bp__000330..full
33	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__34200bp__000329..full
5	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__34310bp__000327..full
15	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__34447bp__000322..full
3	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__34560bp__000321..full
5	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__34643bp__000319..full
5	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__35144bp__000311..full
7	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__35179bp__000310..full
26	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__35189bp__000309..full
3	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__35292bp__000306..full
3	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__35570bp__000300..full
33	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__35821bp__000296..full
1	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__35868bp__000293..full
33	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__36038bp__000292..full
18	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__36153bp__000288..full
6	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__36489bp__000280..full
33	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__36881bp__000276..full
1	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__36914bp__000275..full
13	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__37369bp__000266..full
26	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__37497bp__000264..full
25	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__38804bp__000245..full
33	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__38868bp__000244..full
21	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__40463bp__000223..full
6	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__40933bp__000221..full
1	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__41772bp__000211..full
6	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__41924bp__000210..full
14	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__41991bp__000208..full
18	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__44580bp__000189..full
47	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__44844bp__000186..full
3	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__45023bp__000184..full
1	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__45032bp__000183..full
48	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__45558bp__000176..full
1	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__46848bp__000158..full
15	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__47184bp__000155..full
49	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__47347bp__000151..full
5	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__47825bp__000144..full
13	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__47958bp__000143..full
19	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__49638bp__000126..full
5	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__50088bp__000124..full
43	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__51748bp__000108..full
7	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__52010bp__000106..full
8	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__53478bp__000097..full
50	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__54094bp__000091..full
8	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__54146bp__000090..full
32	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__55527bp__000081..full
22	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__58792bp__000070..full
25	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__61635bp__000064..full
13	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__65252bp__000054..full
29	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__69252bp__000048..full
34	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__69359bp__000047..full
51	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__70300bp__000044..full
5	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__71533bp__000040..full
26	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__84588bp__000022..full
14	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__87441bp__000020..full
6	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__90748bp__000017..full
30	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__99672bp__000014..full
3	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__11141bp__002467..full
52	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__11187bp__002452..full
9	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__112352bp__000005..full
52	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__11368bp__002384..full
27	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__122558bp__000003..full
33	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__12301bp__002071..full
4	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__12538bp__001999..full
52	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__12748bp__001929..full
53	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__134875bp__000002..full
54	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__13748bp__001683..full
55	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__14475bp__001540..full
56	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__14873bp__001463..full
35	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__14982bp__001441..full
48	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__15356bp__001374..full
57	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__15994bp__001278..full
52	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__16193bp__001254..full
58	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__16557bp__001211..full
59	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__16567bp__001209..full
4	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__172774bp__000001..full
21	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__17631bp__001060..full
60	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__17701bp__001052..full
34	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__18007bp__001021..full
61	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__18150bp__001001..full
